"","SRR8146935","SRR8146936","SRR8146938","SRR8146951","SRR8146952","SRR8146954"
"Bisbaumannia salifodinae",40,0,35,0,0,0
"Chromohalobacter canadensis",13,14,0,0,0,0
"Pistricoccus aurantiacus",18,0,46,0,0,0
"Halotalea alkalilenta",10,0,16,0,0,0
"Thalassolituus hydrocarboniclasticus",23,0,0,0,0,0
"Aliamphritea hakodatensis",14,0,0,0,0,0
"Aliamphritea ceti",10,0,0,0,0,0
"Neptuniibacter halophilus",16,0,0,0,0,0
"Endozoicomonas sp. Mp262",90,0,12,0,0,0
"Alcanivorax sp.",87,71,59,0,24,0
"Pokkaliibacter plantistimulans",79,0,39,0,0,0
"Allohahella sp. A8",13,0,0,0,0,0
"Oleiphilus messinensis",14,0,0,0,0,0
"Haemophilus parainfluenzae",1311,365,2442,5135,2666,27055
"Haemophilus influenzae",40,59,53,134,55,430
"Gallibacterium salpingitidis",68,0,79,0,29,28
"Aggregatibacter actinomycetemcomitans",20,0,0,0,0,12
"Rodentibacter caecimuris",14,0,0,0,0,0
"Pasteurella testudinis",16,0,0,22,0,0
"Shewanella sp. SNU WT4",51,0,0,0,0,0
"Shewanella rhizosphaerae",99,0,0,101,0,35
"Shewanella khirikhana",26,0,0,16,0,0
"Shewanella denitrificans",25,0,0,0,0,0
"Shewanella glacialimarina",29,0,0,0,0,15
"Shewanella benthica",13,0,89,0,0,0
"Pseudoalteromonas viridis",94,0,29,0,0,0
"Pseudoalteromonas rubra",15,0,15,0,0,0
"Pseudoalteromonas aliena",23,0,0,0,0,0
"Thalassomonas haliotis",40,0,11,0,0,33
"Idiomarina loihiensis",105,31,72,0,0,0
"Ferrimonas balearica",49,0,22,0,0,0
"Ferrimonas sp. YFM",25,0,0,0,0,0
"Ferrimonas sp. SCSIO 43195",11,0,14,0,0,0
"Psychromonas ingrahamii",30,33,22,0,0,0
"Psychromonas sp. MME1",17,0,0,0,0,0
"Thioalkalivibrio sulfidiphilus",327,0,32,0,0,0
"Thioalkalivibrio sp. K90mix",32,0,0,0,0,0
"Thioalkalivibrio versutus",11,0,29,0,0,0
"Ectothiorhodospira shaposhnikovii",48,91,75,0,0,0
"Alkalilimnicola ehrlichii",29,0,34,0,14,18
"Spiribacter roseus",16,0,38,0,53,0
"Aquisalimonas sp. 2447",10,0,0,0,0,0
"Thioflavicoccus mobilis",145,0,17,0,0,0
"Allochromatium vinosum",37,0,25,0,0,0
"Thiocapsa bogorovii",17,0,29,0,0,0
"Wenzhouxiangella marina",38,0,11,51,0,0
"Magnetovirga frankeli",16,0,0,0,0,0
"Sedimenticola thiotaurini",11,0,11,0,0,0
"Guyparkeria halophila",14,0,84,0,0,0
"Aeromonas caviae",217,0,80,84,0,52
"Aeromonas encheleia",58,0,12,0,0,0
"Aeromonas jandaei",64,0,64,0,0,73
"Aeromonas media",48,105,50,0,12,0
"Aeromonas allosaccharophila",39,0,199,57,19,23
"Aeromonas salmonicida",21,0,58,0,15,0
"Aeromonas enteropelogenes",35,0,0,69,0,0
"Aeromonas veronii",34,68,148,0,34,36
"Aeromonas hydrophila",37,0,183,49,452,81
"Aeromonas rivuli",14,0,12,0,0,0
"Aeromonas simiae",12,0,37,0,0,0
"Oceanimonas pelagia",77,68,49,0,0,0
"Oceanimonas sp. GK1",46,0,0,0,0,0
"Zobellella sp. DQSA1",62,0,0,0,26,0
"Oceanisphaera sp. IT1-181",54,0,0,0,0,0
"Pseudaeromonas aegiceratis",23,0,13,0,0,10
"Succinivibrio dextrinosolvens",21,0,42,24,0,39
"Acinetobacter sp. WZC-1",100,0,0,13,0,0
"Acinetobacter lwoffii",224,215,31,0,125,0
"Acinetobacter johnsonii",67,25,0,20,0,0
"Acinetobacter soli",26,0,0,0,38,0
"Psychrobacter sp. P11G3",49,0,28,0,0,0
"Faucicola osloensis",82,84,0,0,0,0
"Moraxella bovoculi",19,0,120,0,0,0
"Moraxella veridica",18,0,0,20,0,0
"Vibrio penaeicida",68,0,36,16,17,0
"Vibrio sp. J383",59,0,0,0,0,0
"Vibrio scophthalmi",50,0,0,0,0,0
"Vibrio splendidus",92,0,0,0,0,0
"Vibrio azureus",11,0,0,12,0,0
"Vibrio mimicus",32,0,0,0,0,0
"Vibrio quintilis",17,0,0,0,0,0
"Vibrio cincinnatiensis",16,0,0,0,0,0
"Vibrio gazogenes",15,0,20,0,0,0
"Vibrio mangrovi",11,0,0,0,0,0
"Photobacterium damselae",54,0,19,0,20,32
"Photobacterium sp. CCB-ST2H9",17,0,0,33,0,0
"Photobacterium profundum",19,0,22,0,0,0
"Photobacterium atrarenae",19,19,0,0,12,0
"Parasalinivibrio latis",17,0,0,0,0,0
"Enterovibrio litoreus",10,0,20,0,0,0
"Grimontia kaedaensis",12,0,0,0,0,0
"Methylocaldum sp. MU1018",200,0,41,0,0,0
"Methylomonas sp. MED-D",62,0,0,0,0,0
"Methylococcus geothermalis",15,0,24,0,13,0
"Methylomicrobium lacus",15,453,0,0,0,0
"Cellvibrio sp. KY-GH-1",31,0,20,25,0,32
"Cellvibrio sp. PSBB006",19,0,35,0,0,16
"Cellvibrio japonicus",31,0,23,58,0,14
"Teredinibacter sp. KSP-S5-2",14,0,23,0,0,21
"Microbulbifer sp. ARAS458-1",38,0,28,0,0,0
"Kineobactrum salinum",29,0,54,0,0,0
"Halioglobus japonicus",11,0,0,0,0,0
"Spongiibacter nanhainus",16,0,0,0,0,0
"Allofrancisella frigidaquae",107,0,0,0,0,0
"Thiomicrorhabdus xiamenensis",31,0,0,10,0,17
"Thiomicrorhabdus lithotrophica",12,0,20,17,0,0
"Cardiobacterium hominis",63,109,74,46,39,47
"Cardiobacterium sp. Marseille-Q4385",16,19,12,22,0,0
"Wohlfahrtiimonas chitiniclastica",39,0,11,0,0,0
"Legionella oakridgensis",29,0,0,0,0,0
"Legionella pneumophila",16,0,16,43,23,0
"Coxiella-like endosymbiont",10,0,0,0,0,0
"Solimonas sp. K1W22B-7",36,0,48,47,0,0
"Nevskia ramosa",20,0,18,15,13,0
"Hydrocarboniphaga sp.",12,11,0,0,0,0
"Thiohalobacter sp. COW1",51,0,0,0,0,0
"Thiohalobacter sp. IOR34",21,0,98,0,34,0
"Immundisolibacter cernigliae",60,0,76,11,0,0
"Gilliamella apis",29,0,10,24,12,0
"Utexia brackfieldae",10,0,0,0,0,0
"Candidatus Vondammii sp. HM_W22",23,0,0,0,0,0
"Acidiferrobacter sp. SPIII_3",18,0,0,0,0,0
"Salinisphaera sp. LB1",14,0,22,0,0,0
"Kangiella sediminilitoris",10,0,0,0,0,0
"Candidatus Foliamicus sp.",12,0,14,0,0,0
"Sulfurivermis fontis",12,0,15,0,0,0
"Bradyrhizobium sp. CCBAU 53421",1586,189,63,126,0,0
"Bradyrhizobium sp. Ash2021",161,467,143,0,0,17
"Bradyrhizobium sp. WCU1",195,153,0,0,0,270
"Bradyrhizobium genosp. P",37,0,34,0,0,0
"Bradyrhizobium sp. 186",38,49,44,0,36,0
"Bradyrhizobium sp. STM 3557",25,0,0,0,0,0
"Bradyrhizobium genosp. L",31,0,65,0,0,0
"Bradyrhizobium sp. CIAT3101",33,0,116,0,0,0
"Bradyrhizobium sp. NDS-1",34,0,42,0,0,0
"Bradyrhizobium sp. 172",329,0,0,0,0,0
"Bradyrhizobium sp. PUT101",47,0,0,0,0,0
"Bradyrhizobium sp. 195",26,0,0,0,0,0
"Bradyrhizobium yuanmingense",242,0,200,0,0,0
"Bradyrhizobium cosmicum",102,0,0,0,0,0
"Bradyrhizobium guangdongense",72,0,42,260,0,22
"Bradyrhizobium sediminis",26,0,62,0,22,0
"Bradyrhizobium cenepequi",18,0,27,43,35,0
"Bradyrhizobium betae",34,0,61,68,0,0
"Rhodopseudomonas palustris",150,0,165,31,43,24
"Rhodopseudomonas sp. P1",122,0,71,0,0,0
"Tardiphaga sp. 709",44,0,0,0,0,0
"Tardiphaga sp. 866_E4_N1_4",55,0,0,0,0,0
"Afipia sp. TerB",27,0,0,0,0,0
"Rugositalea oryzae",14,0,40,0,22,15
"Rhizobium sp. KDH_Rht_773_N",66,0,73,0,0,0
"Rhizobium sp. CB3090",46,0,0,0,0,0
"Rhizobium sp. SL42",23,0,0,0,0,0
"Rhizobium leguminosarum",446,144,661,95,89,117
"Rhizobium rhizogenes",52,74,228,0,0,0
"Rhizobium ruizarguesonis",45,0,0,0,125,0
"Rhizobium jaguaris",28,0,40,0,0,0
"Rhizobium lusitanum",29,0,33,0,23,0
"Rhizobium binae",35,0,22,0,43,0
"Rhizobium indicum",26,0,0,0,0,0
"Agrobacterium tumefaciens",207,143,252,102,133,94
"Agrobacterium rosae",127,0,104,24,0,33
"Agrobacterium sp. T29",71,0,0,0,32,0
"Agrobacterium pusense",105,0,0,151,65,0
"Agrobacterium vaccinii",26,0,0,0,0,0
"Agrobacterium vitis",21,0,28,25,0,15
"Agrobacterium leguminum",20,0,37,0,27,0
"Neorhizobium galegae",29,0,56,0,39,0
"Neorhizobium sp. CSC1952",20,0,22,0,46,0
"Neorhizobium petrolearium",17,0,25,50,20,42
"Pararhizobium sp. A13",13,0,0,0,0,0
"Ensifer canadensis",223,0,153,0,0,16
"Ensifer adhaerens",53,0,56,0,0,0
"Ensifer sp. WSM1721",41,0,0,0,19,0
"Sinorhizobium mexicanum",137,0,17,0,0,0
"Sinorhizobium sp. BG8",21,0,25,0,0,0
"Sinorhizobium medicae",28,0,0,0,0,0
"Sinorhizobium meliloti",33,0,141,26,57,0
"Sinorhizobium fredii",21,0,53,58,35,81
"Sinorhizobium terangae",15,0,0,0,0,0
"Shinella zoogloeoides",475,0,377,0,113,70
"Ciceribacter thiooxidans",266,40,89,0,0,22
"Affinirhizobium rhizoryzae",51,0,18,0,0,0
"Peteryoungia desertarenae",15,0,0,31,0,0
"Paenirhizobium daejeonense",21,0,35,0,15,0
"Georhizobium profundi",20,0,47,0,0,0
"Terrirhizobium terrae",15,0,0,0,0,0
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2",144,0,54,56,0,39
"Mesorhizobium sp. INR15",61,0,0,0,67,0
"Mesorhizobium sp. B4-1-4",77,0,30,0,0,0
"Mesorhizobium sp. M1B.F.Ca.ET.045.04.1.1",110,22,0,0,0,0
"Mesorhizobium sp. B1-1-8",51,0,63,0,0,0
"Mesorhizobium sp. 113-3-3",78,0,0,0,0,0
"Mesorhizobium sp. PAMC28654",25,0,25,18,0,0
"Mesorhizobium amorphae",102,0,24,0,0,0
"Aminobacter sp. UC22_36",67,0,0,98,0,0
"Aminobacter sp. SR38",146,0,0,0,0,0
"Phyllobacterium sp. 628",63,0,140,0,0,19
"Phyllobacterium zundukense",42,31,17,18,0,0
"Phyllobacterium pellucidum",13,0,0,0,0,23
"Nitratireductor mangrovi",110,0,28,84,0,0
"Nitratireductor thuwali",59,0,77,0,46,0
"Devosia algicola",369,0,181,0,21,0
"Devosia sp. XK-2",156,0,42,11,0,19
"Devosia sp. CN2-171",17,0,0,11,0,0
"Devosia sp. SD17-2",14,50,0,0,0,0
"Devosia rhizoryzae",104,0,0,11,0,0
"Devosia neptuniae",91,0,55,0,0,15
"Devosia polycyclovorans",25,0,0,0,18,0
"Devosia rhodophyticola",17,0,33,0,0,0
"Devosia salina",15,0,17,0,0,0
"Devosia rhizosphaerae",11,0,0,0,90,0
"Pelagibacterium halotolerans",41,0,16,24,0,0
"Mariluticola halotolerans",11,0,0,0,0,0
"Methylobacterium symbioticum",70,0,28,0,0,0
"Methylobacterium brachiatum",67,0,62,97,24,0
"Methylobacterium nodulans",40,0,0,15,0,17
"Methylobacterium durans",41,0,24,66,0,24
"Methylobacterium tardum",48,0,23,0,0,0
"Methylobacterium flocculans",19,0,15,30,0,0
"Microvirga sp. VF16",73,0,0,127,0,0
"Microvirga sp. RSM25",49,0,0,0,0,0
"Microvirga thermotolerans",44,0,34,0,0,0
"Methylorubrum populi",41,0,54,0,27,26
"Methylorubrum extorquens",38,556,58,0,0,0
"Bosea sp. PAMC 26642",70,231,0,0,0,0
"Bosea sp. 685",63,0,57,49,72,47
"Bosea sp. UC22_33",60,0,35,0,0,0
"Bosea sp. RAC05",55,0,0,0,0,0
"Bosea sp. F3-2",30,317,15,0,0,0
"Bosea minatitlanensis",348,0,129,0,0,35
"Bosea beijingensis",41,0,88,0,0,47
"Roseibium sp.",267,92,155,29,64,51
"Roseibium sp. M-1",22,65,0,0,28,0
"Roseibium sp. Sym1",18,0,0,77,28,0
"Roseibium album",11,0,11,0,0,28
"Stappia sp.",103,0,170,47,60,0
"Pannonibacter phragmitetus",66,0,0,0,0,0
"Aureimonas mangrovi",222,0,59,0,0,30
"Aureimonas sp. AU20",65,0,14,0,23,0
"Martelella mediterranea",94,0,36,0,0,32
"Martelella endophytica",41,0,32,77,83,14
"Martelella lutilitoris",23,0,0,0,0,0
"Aurantimonas sp. HBX-1",32,0,0,0,0,0
"Ancylobacter sp.",68,0,0,0,47,0
"Ancylobacter sp. TS-1",34,0,28,29,138,0
"Ancylobacter pratisalsi",29,0,21,0,0,0
"Ancylobacter polymorphus",22,0,0,0,0,0
"Labrys sp. KNU-23",57,0,45,0,0,0
"Labrys miyagiensis",18,124,18,0,0,0
"Xanthobacter dioxanivorans",27,0,19,0,0,0
"Aquabacter sp. L1I39",26,0,0,0,0,0
"Azorhizobium caulinodans",27,0,38,0,0,0
"Starkeya sp. ORNL1",24,0,0,0,0,0
"Hyphomicrobium sp. 1Nfss2.1",123,0,68,14,19,0
"Hyphomicrobium sp. ghe19",50,0,0,0,41,19
"Rhodomicrobium lacus",15,0,0,0,0,0
"Rhodomicrobium vannielii",11,0,17,0,0,0
"Methyloceanibacter caenitepidi",14,0,15,0,36,0
"Methyloligella sp. GL2",19,0,13,0,0,0
"Methylosinus sp. C49",143,0,106,127,42,0
"Methylocystis sp. S23",53,0,0,0,21,0
"Methylocystis sp. SC2",15,0,13,0,0,0
"Methylocystis rosea",18,0,37,0,0,0
"Methylocystis heyeri",12,0,0,0,0,0
"Kaistia sp. 32K",224,0,0,0,19,0
"Bauldia sp.",67,0,0,0,0,11
"Brucella haematophila",50,0,0,0,0,40
"Pseudochrobactrum sp. Wa41.01b-1",53,0,0,0,39,0
"Cohaesibacter marisflavi",42,0,27,0,0,0
"Cohaesibacter sp. ES.047",34,0,23,23,0,0
"uncultured Cohaesibacter sp.",11,0,18,10,32,0
"Oricola thermophila",50,0,82,0,0,42
"Oceaniradius stylonematis",42,0,24,0,75,0
"Bartonella choladocola",37,0,0,0,16,0
"Parvibaculum lavamentivorans",31,0,0,0,0,0
"Pyruvatibacter mobilis",18,0,14,0,0,0
"Kaustia mangrovi",17,0,13,0,0,0
"Tepidicaulis sp.",18,0,18,19,0,47
"Pseudorhodoplanes sinuspersici",34,0,31,29,0,29
"Nordella sp. HKS 07",24,0,0,0,48,0
"Phreatobacter stygius",47,0,46,0,0,27
"Acuticoccus sp. MNP-M23",28,0,54,0,0,0
"Acuticoccus sp. I52.16.1",23,0,0,0,0,0
"Lichenihabitans sp. PAMC28606",48,0,72,0,0,0
"Terrirubrum flagellatum",48,0,0,0,14,0
"Chelatococcus daeguensis",37,0,51,0,0,0
"Chelatococcus sp. CO-6",20,0,39,0,83,0
"Alsobacter sp. KACC 23698",51,0,43,0,0,17
"Methylocella tundrae",22,0,0,0,0,0
"Reyranella sp.",42,15,49,25,127,13
"Salaquimonas pukyongi",40,61,122,0,0,0
"uncultured Pleomorphomonas sp.",28,116,73,0,0,0
"Rhodoligotrophos ferricapiens",18,0,0,0,0,0
"Methyloraptor flagellatus",21,237,18,0,35,16
"Paracoccus sp. ME4",52,0,23,0,0,0
"Paracoccus sp. T5",44,0,18,0,0,0
"Paracoccus sp. S3-43",66,0,0,0,0,0
"Paracoccus sp. SCSIO 75233",38,0,0,0,0,0
"Paracoccus marcusii",157,0,49,43,0,0
"Paracoccus homiensis",83,0,41,0,0,0
"Paracoccus zhejiangensis",65,0,79,178,105,109
"Paracoccus aminovorans",47,0,0,0,0,0
"Paracoccus seriniphilus",18,0,0,0,0,0
"Paracoccus yeei",38,71,0,0,0,0
"Tabrizicola sp.",94,0,0,17,0,0
"Tabrizicola sp. M-4",31,73,0,25,0,0
"Thioclava sp. GXIMD4216",99,0,0,0,0,25
"Roseinatronobacter sp. S2",91,0,0,0,15,0
"Paroceanicella profunda",146,0,84,0,27,30
"Limimaricola variabilis",87,0,123,0,52,0
"Pseudooceanicola atlanticus",33,0,0,0,0,17
"Pseudooceanicola algae",22,0,0,0,0,0
"Pseudorhodobacter turbinis",62,0,34,0,0,0
"Tritonibacter mobilis",81,0,81,0,0,33
"Tritonibacter scottomollicae",19,0,0,0,0,0
"Frigidibacter mobilis",93,748,69,0,88,67
"Aliiroseovarius crassostreae",41,0,31,0,17,0
"Parasedimentitalea psychrophila",41,0,0,0,0,0
"Rhodovulum sulfidophilum",51,0,0,0,0,0
"Yoonia algicola",17,0,0,0,0,0
"Profundibacter amoris",34,0,22,0,0,0
"Pseudopelagicola sp. nBUS_20",28,0,14,58,0,0
"Cereibacter sphaeroides",22,274,52,0,50,0
"Cereibacter azotoformans",24,0,29,0,0,0
"Polymorphum gilvum",62,0,0,44,128,0
"Pikeienuella piscinae",33,0,14,0,0,0
"Cognatishimia activa",21,0,11,15,19,0
"Vannielia sp. SX4",24,0,13,0,0,20
"Marivivens sp. LCG002",19,0,0,0,0,0
"Gymnodinialimonas sp. 57CJ19",14,0,0,25,16,0
"Fuscovulum ytuae",23,41,21,0,0,0
"Amaricoccus sp. B4",18,0,16,0,0,0
"Amylibacter sp. IMCC11727",12,0,0,0,30,0
"Leisingera thetidis",285,0,117,0,0,0
"Leisingera aquaemixtae",114,0,154,0,96,28
"Sulfitobacter sp. SK011",52,0,0,0,0,0
"Sulfitobacter porphyrae",84,0,0,0,0,0
"Thalassovita sp.",158,0,17,20,0,0
"Thalassobius sp. MITS945101",29,0,0,0,26,0
"Celeribacter ethanolicus",126,23,63,0,34,0
"Celeribacter marinus",20,0,0,0,0,0
"Tateyamaria omphalii",100,0,28,0,0,0
"Roseovarius indicus",54,0,200,0,0,0
"Ketogulonicigenium robustum",74,0,12,0,0,0
"Sagittula stellata",74,0,86,0,0,0
"Alloyangia sp. H15",84,0,81,0,0,0
"Alloyangia pacifica",16,0,30,26,0,0
"Jannaschia sp. M317",34,0,12,0,0,0
"Jannaschia sp. W003",24,0,15,0,0,17
"Jannaschia ovalis",22,0,0,0,0,0
"Shimia sp. W99",46,0,0,84,0,0
"Shimia sp. MIT1388",24,0,11,0,0,0
"Phaeobacter gallaeciensis",65,0,16,0,0,0
"Roseobacter sp. A03A-229",25,0,15,0,0,0
"Roseicyclus elongatus",35,0,26,0,0,0
"Pseudosulfitobacter pseudonitzschiae",43,0,64,0,36,80
"Thalassobacter stenotrophicus",28,0,0,0,0,0
"Marinovum algicola",28,0,0,27,0,0
"Antarctobacter heliothermus",15,0,0,11,0,0
"Tropicibacter oceani",17,0,16,19,27,20
"Oceanicola sp. D3",14,0,0,0,0,0
"Rhodobacter capsulatus",60,0,41,28,32,0
"Sphingomonas sp. C3-2",53,0,0,0,0,13
"Sphingomonas sp. MS122",42,93,0,0,0,0
"Sphingomonas sp. So64.6b",31,0,0,0,0,0
"Sphingomonas sp. 7/4-4",29,0,27,0,0,0
"Sphingomonas sp. CJ99",22,0,0,0,0,0
"Sphingomonas sp. MMS12-HWE2-04",18,0,0,0,0,0
"Sphingomonas sp. QA11",17,0,14,14,0,0
"Sphingomonas sp. PAMC26645",19,0,0,0,0,0
"Sphingomonas sp. HT-1",19,0,0,0,0,0
"Sphingomonas sanxanigenens",222,0,0,56,0,0
"Sphingomonas psychrotolerans",109,0,171,0,0,0
"Sphingomonas flavalba",149,0,47,0,59,0
"Sphingomonas aurantiaca",112,0,18,0,0,0
"Sphingomonas hankookensis",89,0,0,0,0,0
"Sphingomonas xanthus",30,0,0,0,0,0
"Sphingomonas sinipercae",32,0,39,0,0,0
"Sphingomonas nostoxanthinifaciens",20,0,0,0,43,37
"Sphingomonas paucimobilis",31,224,39,0,0,0
"Sphingomonas leidyi",27,42,0,25,0,0
"Sphingomonas cannabina",20,0,33,0,0,0
"Sphingomonas ginsengisoli (ex An et al. 2013)",18,238,0,0,0,0
"Sphingomonas yabuuchiae",28,0,0,0,0,0
"Sphingomonas koreensis",19,0,99,0,144,0
"Novosphingobium sp. P6W",24,0,27,46,45,41
"Novosphingobium sp. 9",16,0,30,24,61,30
"Novosphingobium sp.",13,0,0,0,0,0
"Novosphingobium kaempferiae",36,0,17,0,0,0
"Novosphingobium rhizosphaerae",17,0,0,0,38,0
"Parablastomonas sp. CN1-191",59,0,0,0,0,0
"Hankyongella ginsenosidimutans",44,0,0,0,0,0
"Alterisphingorhabdus coralli",26,0,0,0,0,0
"Tardibacter chloracetimidivorans",40,0,0,0,0,0
"Altererythrobacter sp. B11",160,0,49,0,0,0
"Altererythrobacter sp. TH136",108,0,0,0,0,0
"Qipengyuania sp. SS22",134,0,0,0,0,0
"Erythrobacter sp. BLCC-B19",33,0,0,0,0,0
"Erythrobacter aureus",20,0,0,0,0,0
"Erythrobacter litoralis",20,0,0,0,0,0
"Croceibacterium aestuarii",19,0,22,0,0,0
"Caenibius sp. WL",14,13,0,0,0,0
"Sphingopyxis alaskensis",85,0,0,0,0,0
"Sphingopyxis granuli",90,0,0,0,0,0
"Sphingopyxis fribergensis",15,0,84,0,0,23
"Sphingobium sp. RAC03",20,0,0,0,0,0
"Sphingobium herbicidovorans",83,31,0,0,0,0
"Sphingobium chlorophenolicum",54,0,0,0,0,0
"Novosphingopyxis iocasae",201,0,0,0,0,0
"Allosphingosinicella humi",132,0,0,0,0,0
"Sphingomicrobium aestuariivivum",47,0,0,0,0,0
"Sphingosinicella microcystinivorans",35,0,42,0,0,0
"Sandaracinobacteroides saxicola",24,0,0,0,0,0
"Blastomonas sp. SL216",26,0,27,0,0,0
"Zymomonas mobilis",17,0,36,20,19,15
"Komagataeibacter oboediens",142,0,144,756,475,380
"Komagataeibacter saccharivorans",27,0,0,0,0,12
"Acetobacter aceti",53,0,18,0,48,0
"Acetobacter persici",57,0,20,0,0,0
"Gluconobacter potus",63,0,0,0,0,0
"Rhodovastum atsumiense",37,0,31,0,0,0
"Novacetimonas hansenii",39,0,20,0,0,0
"Lichenicola cladoniae",21,0,0,0,0,0
"Asaia bogorensis",17,0,17,37,0,0
"Commensalibacter melissae",11,22,26,0,76,27
"Lichenicoccus sp.",14,214,33,0,17,0
"Roseomonas haemaphysalidis",149,0,65,0,61,0
"Teichococcus cervicalis",87,0,48,0,68,54
"Roseomonas sp. WA12",49,0,43,141,47,0
"Roseomonas gilardii",56,46,292,0,0,0
"Humitalea sp. 24SJ18S-53",68,0,99,0,19,0
"Dankookia sp. P2",26,0,24,0,0,0
"Muricoccus radiodurans",23,0,0,0,0,0
"Acidocella sp. MX-AZ03",171,0,78,0,26,0
"Elioraea tepida",55,0,46,0,0,12
"Azospirillum sp. B2RO_4",46,74,0,0,0,0
"Azospirillum sp. B510",20,94,0,0,0,0
"Azospirillum ramasamyi",79,0,0,0,0,0
"Azospirillum thermophilum",44,0,51,0,36,0
"Azospirillum doebereinerae",33,0,17,79,0,0
"Azospirillum oryzae",45,786,0,0,0,0
"Azospirillum melinis",60,0,0,0,0,0
"Azospirillum brasilense",29,0,63,0,88,49
"Azospirillum lipoferum",21,0,221,0,0,0
"Azospirillum largimobile",21,0,0,0,0,0
"Niveispirillum fermenti",39,0,23,0,0,0
"Indioceanicola profundi",25,73,15,16,31,0
"Thalassospira sp. SM2505",128,0,0,0,0,0
"Thalassospira australica",97,0,0,0,20,0
"Thalassospira lucentensis",32,136,19,31,30,0
"Magnetospira sp. QH-2",12,0,127,18,17,15
"Magnetospirillum sp. XM-1",65,0,36,20,0,0
"Magnetospirillum gryphiswaldense",31,0,157,80,49,17
"Rhodospirillum rubrum",31,0,28,0,23,0
"Rhodospirillum centenum",19,0,0,71,0,0
"Pararhodospirillum photometricum",29,0,0,0,0,0
"Aerophototrophica crusticola",24,0,24,0,0,0
"Hypericibacter adhaerens",97,0,0,0,0,173
"Pelagibius sp.",91,0,113,42,40,153
"Nisaea acidiphila",34,0,0,0,0,0
"Thalassobaculum sp.",23,0,20,0,0,0
"Thalassobaculum sp. OXR-137",23,0,71,0,33,0
"Aestuariispira ectoiniformans",32,0,30,0,36,0
"Caenispirillum salinarum",29,0,55,45,16,0
"Varunaivibrio sulfuroxidans",23,0,46,13,0,25
"Allostella humosa",18,0,37,0,0,0
"Brevundimonas sp. C43",199,0,0,0,0,0
"Brevundimonas sp.",43,0,44,0,42,97
"Brevundimonas sp. M20",28,0,0,0,0,0
"Brevundimonas naejangsanensis",57,0,0,0,0,0
"Brevundimonas vesicularis",40,0,36,0,0,0
"Brevundimonas vitis",18,0,0,0,0,0
"Brevundimonas diminuta",32,115,104,0,0,0
"Brevundimonas olei",20,0,0,0,47,0
"Brevundimonas bullata",17,647,0,0,0,0
"Brevundimonas nasdae",19,0,0,0,0,0
"Caulobacter sp. NIBR1757",30,0,42,0,0,0
"Caulobacter segnis",60,0,0,0,0,0
"Caulobacter soli",40,0,40,0,0,0
"Caulobacter vibrioides",41,0,33,0,44,23
"Phenylobacterium zucineum",52,0,104,0,0,0
"Phenylobacterium montanum",22,0,20,0,0,0
"Asticcacaulis sp. DW145",14,0,0,0,0,0
"Asticcacaulis excentricus",22,12,0,15,0,0
"Wolbachia endosymbiont (group A) of Epistrophe grossularia",49,0,90,35,0,106
"Candidatus Mesenet endosymbiont of Phosphuga atrata",34,0,0,0,0,0
"Ehrlichia canis",14,0,0,0,0,0
"Oceanicaulis sp. LC35",55,0,0,0,0,0
"Oceanicaulis sp.",18,0,0,15,0,0
"Glycocaulis abyssi",77,0,0,0,0,0
"Hyphobacterium sp.",37,0,37,0,0,16
"Maricaulis maris",23,33,34,0,33,0
"Marinicauda algicola",23,0,42,0,0,0
"Litorimonas sp. RW-G-Af-16",11,0,0,0,0,0
"Algimonas porphyrae",11,0,38,0,0,0
"Tistrella mobilis",133,0,244,16,43,22
"Tistrella bauzanensis",22,0,73,14,0,34
"Hyphococcus flavus",46,0,19,0,0,0
"Hyphococcus sp.",14,13,0,11,12,0
"Aquisalinus flavus",33,0,0,0,0,0
"Luteithermobacter gelatinilyticus",41,0,67,0,0,11
"Emcibacter sp.",32,0,0,38,0,0
"Pseudemcibacter aquimaris",13,0,13,0,24,58
"Hyphomonas sp.",61,0,29,0,52,20
"Hyphomonas sp. CACIAM 19H1",13,0,0,0,40,0
"Candidatus Viadribacter manganicus",21,0,0,0,0,0
"Minwuia sp.",50,0,72,0,0,0
"Sneathiella aquimaris",31,0,28,58,0,11
"Candidatus Bealeia paramacronuclearis",11,0,10,0,0,0
"Radicibacter daui",17,76,13,51,0,17
"Oxalobacter aliiformigenes",5198,33,1006,18,344,16
"Oxalobacter vibrioformis",31,0,33,0,12,0
"Massilia atriviolacea",202,0,23,0,0,0
"Massilia sp. H6",82,0,64,0,0,18
"Massilia sp. METH4",21,0,0,0,27,0
"Massilia cellulosiltytica",114,0,159,0,0,0
"Massilia forsythiae",40,0,44,37,25,17
"Massilia litorea",26,685,0,0,0,0
"Massilia putida",15,0,18,0,0,0
"Pseudoduganella sp. HUAS MS19",99,0,64,0,0,15
"Pseudoduganella sp. UC29_71",16,61,41,0,0,0
"Pseudoduganella flava",18,0,25,30,0,26
"Pseudoduganella chitinolytica",18,94,36,0,0,0
"Duganella sp. PWIR1",26,0,0,0,0,0
"Collimonas fungivorans",101,0,45,0,12,0
"Collimonas arenae",19,0,0,0,30,0
"Janthinobacterium sp. 17J80-10",56,11,0,0,0,0
"Noviherbaspirillum sp. ST 5-3",46,11,25,0,0,0
